Net Status Report
Filename     : D:\workplace\AD\FpgaSchematic\OBC-FPGA.PcbDoc
Date         : 2019/1/14
Time         : 10:42:36
Time Elapsed : 00:00:00

Nets, Layer, Length
    /FLT_FIBGY+3.3, Signal Layers Only, 2179.055mils
    /FLT_FIBGY-3.3, Signal Layers Only, 1890.506mils
    /FLT_MAGA, Signal Layers Only, 916.411mils
    /FLT_MAGB_3.3, Signal Layers Only, 1728.235mils
    /FLT_MAGB_5, Signal Layers Only, 1098.339mils
    /FLT_SUNSEN_3.3, Signal Layers Only, 630.215mils
    1V5_EN, Signal Layers Only, 116.759mils
    1V5_PG, Signal Layers Only, 2098.151mils
    3V3_EN, Signal Layers Only, 110.178mils
    3V3_PG, Signal Layers Only, 1555.904mils
    Ant1, Signal Layers Only, 1525.066mils
    Ant2, Signal Layers Only, 1442.108mils
    Ant3, Signal Layers Only, 1381.75mils
    Ant4, Signal Layers Only, 1310.798mils
    BUS_CANH, Signal Layers Only, 501.519mils
    BUS_CANL, Signal Layers Only, 478.951mils
    BUS_CANLB, Signal Layers Only, 718.919mils
    BUS_CANR, Signal Layers Only, 484.946mils
    BUS_CANT, Signal Layers Only, 306.036mils
    CLK, Signal Layers Only, 105.764mils
    EN_FIBGY+3.3, Signal Layers Only, 1902.751mils
    EN_FIBGY-3.3, Signal Layers Only, 1734.641mils
    EN_MAGA, Signal Layers Only, 728.414mils
    EN_MAGB_3.3, Signal Layers Only, 1738.917mils
    EN_MAGB_5, Signal Layers Only, 1073.7mils
    EN_SUNSEN_3.3, Signal Layers Only, 527.573mils
    FIBERGYRO_RX, Signal Layers Only, 2053.171mils
    FIBERGYRO_RX+, Signal Layers Only, 517.051mils
    FIBERGYRO_RX-, Signal Layers Only, 538.509mils
    FIBERGYRO_RX_/RE, Signal Layers Only, 2027.945mils
    FIBERGYRO_TX, Signal Layers Only, 1918.65mils
    FIBERGYRO_TX+, Signal Layers Only, 460.135mils
    FIBERGYRO_TX-, Signal Layers Only, 436.709mils
    FIBERGYRO_TX_DE, Signal Layers Only, 1957.892mils
    GND, Signal Layers Only, 11063.259mils
    LED1, Signal Layers Only, 199.518mils
    LED2, Signal Layers Only, 172.553mils
    LED3, Signal Layers Only, 131.89mils
    LED4, Signal Layers Only, 124.435mils
    MAGA_PC_/INVALID, Signal Layers Only, 1150.506mils
    MAGA_PC_RD, Signal Layers Only, 1188.863mils
    MAGA_PC_READY, Signal Layers Only, 1271.911mils
    MAGA_PC_TD, Signal Layers Only, 1114.455mils
    MAGA_RD, Signal Layers Only, 481.43mils
    MAGA_TD, Signal Layers Only, 742.991mils
    MAGB_PC_EN, Signal Layers Only, 1522.075mils
    MAGB_PC_SCL, Signal Layers Only, 1351.269mils
    MAGB_PC_SDA, Signal Layers Only, 1406.923mils
    MAGB_SCL, Signal Layers Only, 312.204mils
    MAGB_SDA, Signal Layers Only, 272.725mils
    NetC10_1, Signal Layers Only, 217.605mils
    NetC10_2, Signal Layers Only, 373.54mils
    NetC14_2, Signal Layers Only, 330.221mils
    NetC15_2, Signal Layers Only, 146.847mils
